"provenance","files_verified","all_hashes_match"
"results/cbh/primary_map_regional17_gamma2_v3/annual_comparison/figure_provenance.csv",3,TRUE
"results/cbh/primary_map_regional17_gamma2_v3/annual_comparison/input_provenance.csv",37,TRUE
"results/cbh/primary_map_regional17_gamma2_v3/attributable_fraction_by_age_provenance.csv",6,TRUE
"results/cbh/primary_map_regional17_gamma2_v3/burden_comparison/figure_provenance.csv",8,TRUE
"results/cbh/primary_map_regional17_gamma2_v3/burden/provenance.csv",21,TRUE
"results/cbh/primary_map_regional17_gamma2_v3/code_provenance.csv",8,TRUE
"results/cbh/primary_map_regional17_gamma2_v3/comparison_provenance.csv",24,TRUE
"results/cbh/primary_map_regional17_gamma2_v3/diagnostic_provenance.csv",8,TRUE
"results/cbh/primary_map_regional17_gamma2_v3/fit_input_provenance.csv",9,TRUE
"results/cbh/primary_map_regional17_gamma2_v3/nigeria_states/figure_provenance.csv",5,TRUE
"results/cbh/primary_map_regional17_gamma2_v3/nigeria_states/input_provenance.csv",10,TRUE
"results/cbh/primary_map_regional17_gamma2_v3/preparation_provenance.csv",9,TRUE
"results/cbh/primary_map_regional17_gamma2_v3/report_provenance.csv",20,TRUE
"results/cbh/primary_map_regional17_gamma2_v3/study_flow/provenance.csv",13,TRUE
"results/cbh/primary_map_regional17_gamma2_v3/survey_map/provenance.csv",43,TRUE
"results/cbh/primary_map_regional17_gamma2_v3/tables/burden_table_provenance.csv",5,TRUE
"results/cbh/primary_map_regional17_gamma2_v3/tables/provenance.csv",6,TRUE
