"fit_id","variant","age_band","model_file","md5","selected_version","prepared_data_md5"
"main_age_1","main","<1","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/main_age_1.rds","88e52b7d7a07dfafe02d27a945d92c39","original","3e84f7ea55fdcc467afbcb0880448eec"
"main_age_2","main","1-5","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/main_age_2.rds","06be0e37c2e82d508af538831da34d60","original","3e84f7ea55fdcc467afbcb0880448eec"
"main_age_3","main","6-11","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/main_age_3.rds","4d278cf9bf50deed4eb829164b1ba1fd","original","3e84f7ea55fdcc467afbcb0880448eec"
"main_age_4","main","12-23","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/main_age_4.rds","2d0f40335677b3efc311040bf265e18e","original","3e84f7ea55fdcc467afbcb0880448eec"
"main_age_5","main","24-35","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/main_age_5.rds","5204fe55478602970f6a4f0e246071ac","original","3e84f7ea55fdcc467afbcb0880448eec"
"main_age_6","main","36-47","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/main_age_6.rds","01b56bb10b57f9c88d940b30c287fb14","original","3e84f7ea55fdcc467afbcb0880448eec"
"main_age_7","main","48-59","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/main_age_7_strict.rds","d11b1a74abfd58225bfb06182f9f9d27","strict_restart","3e84f7ea55fdcc467afbcb0880448eec"
"no_smc_age_1","no_smc","<1","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/no_smc_age_1_strict.rds","f46219b234515c53099b58ab7974e72b","strict_restart","3e84f7ea55fdcc467afbcb0880448eec"
"no_smc_age_2","no_smc","1-5","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/no_smc_age_2.rds","8fb0fc636fbffb9885ffc9dba7e5a911","original","3e84f7ea55fdcc467afbcb0880448eec"
"no_smc_age_3","no_smc","6-11","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/no_smc_age_3.rds","7e7e54f9ff34b3c4df2bb4b0abd51838","original","3e84f7ea55fdcc467afbcb0880448eec"
"no_smc_age_4","no_smc","12-23","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/no_smc_age_4.rds","73b7ac34520b9d79249b10f86d73c079","original","3e84f7ea55fdcc467afbcb0880448eec"
"no_smc_age_5","no_smc","24-35","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/no_smc_age_5.rds","d64d37969fd3b6f1eb80ba4eee2a7019","original","3e84f7ea55fdcc467afbcb0880448eec"
"no_smc_age_6","no_smc","36-47","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/no_smc_age_6.rds","1ce74af5f4c352ac2953b826ebec4170","original","3e84f7ea55fdcc467afbcb0880448eec"
"no_smc_age_7","no_smc","48-59","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/no_smc_age_7_strict.rds","e8f6172303792ba558a15e487242f186","strict_restart","3e84f7ea55fdcc467afbcb0880448eec"
"placebo_age_1","placebo","<1","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/placebo_age_1.rds","97e239f44c287039ecd2c40ca7871542","original","3e84f7ea55fdcc467afbcb0880448eec"
"placebo_age_2","placebo","1-5","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/placebo_age_2.rds","d78939ef6313565a8820369459a6363d","original","3e84f7ea55fdcc467afbcb0880448eec"
"placebo_age_3","placebo","6-11","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/placebo_age_3.rds","b1815fb0945673549c2febc9d13b9e69","original","3e84f7ea55fdcc467afbcb0880448eec"
"placebo_age_4","placebo","12-23","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/placebo_age_4.rds","c8d2ccbc42f70e52a60dcdae1801162b","original","3e84f7ea55fdcc467afbcb0880448eec"
"placebo_age_5","placebo","24-35","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/placebo_age_5.rds","471d7a9ebee415dc61fac7164956b2a2","original","3e84f7ea55fdcc467afbcb0880448eec"
"placebo_age_6","placebo","36-47","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/placebo_age_6.rds","f014af3195b3b1f3862d7f8904dec200","original","3e84f7ea55fdcc467afbcb0880448eec"
"placebo_age_7","placebo","48-59","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/placebo_age_7.rds","59d26e274a95eec780f34cf1170f7576","original","3e84f7ea55fdcc467afbcb0880448eec"
"national_age_1","national","<1","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/national_age_1.rds","d2fd6997ad5b3d873a76ddab9d5a49bc","original","3e84f7ea55fdcc467afbcb0880448eec"
"national_age_2","national","1-5","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/national_age_2.rds","7312384a4dad08d6aef00894a3886ee6","original","3e84f7ea55fdcc467afbcb0880448eec"
"national_age_3","national","6-11","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/national_age_3.rds","18ef1430f2a24b3274ed908864c1469a","original","3e84f7ea55fdcc467afbcb0880448eec"
"national_age_4","national","12-23","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/national_age_4.rds","73a190a81f96cc60be753b7344d646ee","original","3e84f7ea55fdcc467afbcb0880448eec"
"national_age_5","national","24-35","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/national_age_5.rds","ae0e17b5cb029aa556afd8e363427dc3","original","3e84f7ea55fdcc467afbcb0880448eec"
"national_age_6","national","36-47","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/national_age_6.rds","d9ab8a7924de4d55723b46eb32014bd2","original","3e84f7ea55fdcc467afbcb0880448eec"
"national_age_7","national","48-59","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/national_age_7.rds","907e40484e55e4d98764b68ce8c096c2","original","3e84f7ea55fdcc467afbcb0880448eec"
"coverage_age_1","coverage","<1","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/coverage_age_1.rds","f5c2bb042f729323af82a346f057d5ec","original","3e84f7ea55fdcc467afbcb0880448eec"
"coverage_age_2","coverage","1-5","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/coverage_age_2.rds","ad1cfe958d372c7c07d18616c868a24c","original","3e84f7ea55fdcc467afbcb0880448eec"
"coverage_age_3","coverage","6-11","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/coverage_age_3.rds","c80f9655012700a7d5f6e78595cc3012","original","3e84f7ea55fdcc467afbcb0880448eec"
"coverage_age_4","coverage","12-23","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/coverage_age_4.rds","f75a37c6f739280cfdb811c261afec6f","original","3e84f7ea55fdcc467afbcb0880448eec"
"coverage_age_5","coverage","24-35","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/coverage_age_5.rds","6f5a8ab9864abdac5fea9c8e05b6a6c1","original","3e84f7ea55fdcc467afbcb0880448eec"
"coverage_age_6","coverage","36-47","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/coverage_age_6.rds","9bf5d72309a10e274db3df9632dac573","original","3e84f7ea55fdcc467afbcb0880448eec"
"coverage_age_7","coverage","48-59","data/derived_cbh/models/smc_dhsmics_map_gamma2_v1/coverage_age_7_strict.rds","cc1c05734ba799b24b2d3b250a2f779c","strict_restart","3e84f7ea55fdcc467afbcb0880448eec"
