"provenance","files_verified","all_hashes_match"
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/annual_comparison/figure_provenance.csv",5,TRUE
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/annual_comparison/input_provenance.csv",37,TRUE
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/attributable_fraction_by_age_provenance.csv",6,TRUE
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/burden_comparison/figure_provenance.csv",8,TRUE
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/burden_comparison/source_comparison_provenance.csv",4,TRUE
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/burden/provenance.csv",21,TRUE
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/code_provenance.csv",8,TRUE
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/comparison_provenance.csv",24,TRUE
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/diagnostic_provenance.csv",8,TRUE
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/fit_input_provenance.csv",9,TRUE
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/nigeria_states/figure_provenance.csv",5,TRUE
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/nigeria_states/input_provenance.csv",10,TRUE
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/preparation_provenance.csv",11,TRUE
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/report_provenance.csv",20,TRUE
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/study_flow/provenance.csv",20,TRUE
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/survey_map/provenance.csv",52,TRUE
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/tables/burden_table_provenance.csv",5,TRUE
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/tables/provenance.csv",6,TRUE
"results/cbh/primary_map_regional17_dhsmics_gamma2_v7/under5_probability/provenance.csv",7,TRUE
